Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
SAT n paper;Noida +2 more;4.4;Skill Development / Learning, Company Culture, Work Satisfaction;;76;64;--;--;1;;
Zenith Software;IT Services & Consulting | 201-500 Employees | 28 years old | Banglore +11 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;Promotions / Appraisal;75;581;4;1;3;;
National Environmental Engineering Research Institute;Clinical Research | 501-1k Employees | 66 years old | Nagpur +8 more;4.4;Work Life Balance, Company Culture, Skill Development / Learning;Job Security, Promotions / Appraisal;75;397;6;--;8;;
Dakshin Haryana Bijli Vitran Nigam;Power | 5k-10k Employees (Global) | State | 25 years old | Hisar +18 more;4.4;Work Life Balance, Job Security, Work Satisfaction;;74;788;2;--;5;;
Borgward Technology India;Automobile | 51-200 Employees | Pune +1 more;4.4;Skill Development / Learning, Company Culture, Work Satisfaction;;74;147;3;--;--;;
Datwyler Group;501-1k Employees | Pune +4 more;4.4;Company Culture, Skill Development / Learning, Work Satisfaction;;74;407;5;2;4;;
ANAAMALAIS TOYOTA;Financial Services | 1k-5k Employees | 24 years old | Coimbatore +18 more;4.4;Company Culture, Skill Development / Learning, Work Satisfaction;;73;269;3;--;10;;
Shriram Fertilizers & Chemicals;Agro Chemicals | 5k-10k Employees (Global) | 34 years old | New Delhi +23 more;4.4;Company Culture, Salary & Benefits;;73;240;6;--;7;;
UDAAN CARGO & LOGISTICS;Logistics | 201-500 Employees | 9 years old | New Delhi +34 more;4.4;Work Satisfaction, Company Culture, Skill Development / Learning;;73;601;4;--;49;;
HashCash Consultants;Software Product | 51-200 Employees | 9 years old | Palo Alto +4 more;4.4;Company Culture, Promotions / Appraisal, Work Life Balance;;73;141;1;1;26;;
Shriram Fertilizers & Chemicals;Agro Chemicals | 5k-10k Employees (Global) | 34 years old | New Delhi +23 more;4.4;Company Culture, Salary & Benefits;;73;240;6;--;7;;
UDAAN CARGO & LOGISTICS;Logistics | 201-500 Employees | 9 years old | New Delhi +34 more;4.4;Work Satisfaction, Company Culture, Skill Development / Learning;;73;601;4;--;49;;
Sandvik Coromant;Industrial Machinery | 5k-10k Employees (Global) | 82 years old | Sandviken +5 more;4.4;Company Culture, Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;73;435;3;7;12;;
Orient Abrasives;Metals & Mining | 51-200 Employees | Public | 50 years old | Mumbai +4 more;4.4;Company Culture, Work Satisfaction, Salary & Benefits;;72;493;4;--;13;;
Sterling Generators;Industrial Machinery | 1k-5k Employees | 29 years old | Mumbai +12 more;4.4;Skill Development / Learning, Work Life Balance, Company Culture;;72;382;1;--;13;;
FIT 3PL Warehousing;Logistics | 501-1k Employees | 38 years old | Bengaluru +21 more;4.4;Company Culture, Work Satisfaction, Work Life Balance;;72;336;4;--;8;;
Banasthali Vidyapith;Education & Training | 501-1k Employees | 89 years old | Tonk +8 more;4.4;Company Culture, Job Security, Work Life Balance;;72;167;6;--;4;;
Orient Abrasives;Metals & Mining | 51-200 Employees | Public | 50 years old | Mumbai +4 more;4.4;Company Culture, Work Satisfaction, Salary & Benefits;;72;493;4;--;13;;
Ericsson;Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +150 more;4.3;Company Culture, Work Life Balance, Job Security;;6.6k;44.8k;275;202;1k;;
Maruti Suzuki;Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +375 more;4.3;Job Security, Salary & Benefits, Skill Development / Learning;;6.6k;25.4k;448;25;1.1k;;
Hindustan Unilever;FMCG | 10k-50k Employees | Public | 152 years old | London +422 more;4.3;Skill Development / Learning, Job Security, Company Culture;;4.9k;21.1k;249;191;689;;
Tata Projects;Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +235 more;4.3;Job Security, Company Culture, Skill Development / Learning;;4.4k;19.3k;282;46;562;;
Mahindra & Mahindra Financial Services;NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +633 more;4.3;Job Security, Company Culture, Work Life Balance;;4k;11.1k;98;52;511;;
Hewlett-Packard Enterprise;IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +90 more;4.3;Company Culture, Work Life Balance, Job Security;;3.6k;31.5k;143;37;630;;
Bosch;Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +100 more;4.3;Company Culture, Work Life Balance, Skill Development / Learning;;3.5k;20.6k;221;10;631;;
CBRE;Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +75 more;4.3;Skill Development / Learning, Company Culture, Job Security;;3.4k;15.8k;165;135;482;;
Future Group;Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +202 more;4.3;Skill Development / Learning, Company Culture, Work Life Balance;;3.2k;11.6k;65;16;421;;
Royal Enfield;Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +301 more;4.3;Skill Development / Learning, Work Satisfaction, Company Culture;;3k;14k;106;15;416;;
Viatris;Pharma | 10k-50k Employees | Forbes Global 2000 | 63 years old | Canonsburg +70 more;4.3;Salary & Benefits, Job Security, Work Life Balance;;3k;14.4k;99;7;529;;
John Deere;Industrial Machinery | 5k-10k Employees | Fortune India 500 | 23 years old | Moline +120 more;4.3;Company Culture, Skill Development / Learning, Work Life Balance;;3k;14k;153;9;432;;
American Express;Financial Services | 10k-50k Employees | Forbes Global 2000 | 174 years old | New York City +44 more;4.3;Company Culture, Work Life Balance, Job Security;;2.7k;20.9k;211;191;450;;
Hindalco Industries;Metals & Mining | 10k-50k Employees | Public | 66 years old | Mumbai +86 more;4.3;Job Security, Skill Development / Learning, Company Culture;;2.6k;9.8k;140;--;346;;
Hindustan Coca Cola Beverages;Beverage | 5k-10k Employees | 27 years old | Bangalore +216 more;4.3;Skill Development / Learning, Job Security, Salary & Benefits;;2.6k;7.1k;91;63;388;;
Maersk;Logistics | 10k-50k Employees | 120 years old | Copenhagen +35 more;4.3;Company Culture, Work Life Balance, Job Security;;2.5k;16.6k;109;128;447;;
Nokia Networks;Hardware & Networking | 501-1k Employees | Chennai +83 more;4.3;Company Culture, Work Life Balance, Work Satisfaction;;1.8k;8.1k;87;118;24;;
Future Retail;Retail | 10k-50k Employees | Public | 37 years old | San Francisco +196 more;4.3;Skill Development / Learning, Company Culture, Work Satisfaction;;1.8k;6.2k;44;2;259;;
SRF;Chemicals | 5k-10k Employees | Public | 54 years old | Gurgaon/Gurugram +45 more;4.3;Job Security, Skill Development / Learning, Salary & Benefits;;1.7k;7.3k;112;17;276;;
V-Mart;Retail | 5k-10k Employees | Public | 22 years old | Gurgaon/Gurugram +241 more;4.3;Skill Development / Learning, Job Security, Company Culture;;1.7k;3.9k;93;81;218;;
Shell;Oil & Gas | 10k-50k Employees | Public | 20 years old | London +74 more;4.3;Work Life Balance, Company Culture, Salary & Benefits;;1.6k;12.1k;126;14;270;;
suzuki motor gujarat;Fortune India 500 | Becharaji +86 more;4.3;Job Security, Company Culture, Salary & Benefits;;1.6k;6.2k;111;58;198;;
Jindal Stainless;Iron & Steel | 1k-5k Employees | Public | 54 years old | Delhi/NCR +56 more;4.3;Job Security, Skill Development / Learning, Work Life Balance;;1.6k;8.5k;104;2;206;;
SAP;Software Product | 10k-50k Employees | Forbes Global 2000 | 52 years old | Walldorf +41 more;4.3;Work Life Balance, Job Security, Company Culture;;1.4k;14.8k;188;113;312;;
AECOM;Engineering & Construction | 1k-5k Employees | 34 years old | Dallas +106 more;4.3;Work Life Balance, Company Culture, Skill Development / Learning;;1.4k;5.9k;84;2;253;;
BA Continuum;NBFC | 1k-5k Employees | 21 years old | Gurgaon/Gurugram +15 more;4.3;Job Security, Work Life Balance, Company Culture;;1.4k;11.7k;69;--;304;;
MetLife;Insurance | 1k-5k Employees | Forbes Global 2000 | 16 years old | New York +37 more;4.3;Job Security, Work Life Balance, Company Culture;;1.4k;8k;50;488;244;;
KONE;Industrial Machinery | 5k-10k Employees | Forbes Global 2000 | 114 years old | Chennai +65 more;4.3;Job Security, Company Culture, Work Life Balance;;1.3k;5.2k;65;27;198;;
NTPC;10k-50k Employees | Fortune India 500 | 49 years old | Delhi/NCR +100 more;4.3;Skill Development / Learning, Company Culture, Work Life Balance;;1.3k;3.6k;126;--;183;;
Honda Cars;Automobile | 5k-10k Employees | Fortune India 500 | Alwar +85 more;4.3;Work Life Balance, Company Culture, Work Satisfaction;;1.2k;6.2k;55;--;199;;
Tata Group;IT Services & Consulting | 1 Lakh+ Employees | Conglomerate | 156 years old | Mumbai +151 more;4.3;Job Security, Company Culture, Work Life Balance;;1.2k;4.3k;329;--;115;;
Relaxo Footwear;Fashion & Textile | 5k-10k Employees | Public | 48 years old | New Delhi +125 more;4.3;Job Security, Company Culture, Work Satisfaction;;1.2k;3.9k;55;75;147;;
Hindustan Construction Company;Engineering & Construction | 1k-5k Employees | Public | 98 years old | Mumbai +82 more;4.3;Job Security, Skill Development / Learning, Company Culture;;1.2k;3.7k;59;1;163;;
Marriott International;Hospitality | 10k-50k Employees | Forbes Global 2000 | 97 years old | Bethesda +71 more;4.3;Skill Development / Learning, Job Security, Company Culture;;1.2k;4.8k;57;439;185;;
FedEx Express;"Logistics | 5k-10k Employees | Forbes Global 2000 | 53 years old | 	Moon Township +90 more";4.3;Company Culture, Work Life Balance, Skill Development / Learning;;1.1k;4k;48;13;191;;
Manipal Hospitals;Healthcare | 1k-5k Employees | 71 years old | Bangalore/Bengaluru +48 more;4.3;Skill Development / Learning, Job Security, Company Culture;;1.1k;4.6k;52;55;135;;
Nayara Energy;Petrochemicals | 1k-5k Employees | Fortune India 500 | 35 years old | Mumbai +75 more;4.3;Job Security, Salary & Benefits, Work Life Balance;;1.1k;5.7k;61;3;175;;
Cushman & Wakefield;Real Estate | 1k-5k Employees | 27 years old | Chicago +37 more;4.3;Company Culture, Work Life Balance, Job Security;;1.1k;5.2k;51;19;138;;
ITD Cementation India;Engineering & Construction | 1k-5k Employees | Public | 93 years old | Mumbai +66 more;4.3;Job Security, Company Culture, Salary & Benefits;;1.1k;3.7k;39;2;144;;
GE;Defence & Aerospace | 10k-50k Employees | Forbes Global 2000 | 132 years old | Boston +59 more;4.3;Company Culture, Work Life Balance, Skill Development / Learning;;1k;8.6k;65;26;211;;
Tietoevry;IT Services & Consulting | 1k-5k Employees | Public | 56 years old | Helsinki +9 more;4.3;Work Life Balance, Company Culture, Job Security;;964;9k;57;31;128;;
Oil And Natural Gas Corporation;Oil & Gas | 10k-50k Employees | Public | 68 years old | Delhi/NCR +63 more;4.3;Job Security, Work Life Balance, Work Satisfaction;;935;3.3k;52;--;144;;
Vestas;Power | 1k-5k Employees | Forbes Global 2000 | 79 years old | Aarhus +43 more;4.3;Company Culture, Work Life Balance, Skill Development / Learning;;923;4.8k;60;24;144;;
Amneal Pharmaceuticals;Pharma | 5k-10k Employees | 22 years old | Bridgewater +24 more;4.3;Work Life Balance, Job Security, Company Culture;;921;4.9k;43;35;145;;
Amara Raja Energy & Mobility;Auto Components | 5k-10k Employees | Fortune India 500 | 39 years old | Tirupati +64 more;4.3;Job Security, Skill Development / Learning, Work Life Balance;;919;3.7k;42;67;120;;
Medhaj Techno Concept;Other | 1k-5k Employees | 17 years old | Lucknow +140 more;4.3;Company Culture, Skill Development / Learning, Work Life Balance;;906;2k;40;--;168;;
CreditAccess Grameen;NBFC | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +243 more;4.3;Job Security, Company Culture, Skill Development / Learning;;903;2.3k;25;5;71;;
Godrej Consumer Products;FMCG | 1k-5k Employees | Public | 23 years old | Mumbai +108 more;4.3;Work Life Balance, Company Culture, Skill Development / Learning;Promotions / Appraisal;885;4.2k;34;8;125;;
Punj Lloyd;Engineering & Construction | 5k-10k Employees | Public | 42 years old | Gurgaon/Gurugram +70 more;4.3;Work Life Balance, Company Culture, Work Satisfaction;;875;2.2k;14;--;140;;
Podar International School;Education & Training | 5k-10k Employees | 97 years old | Mumbai +105 more;4.3;Skill Development / Learning, Job Security, Company Culture;;851;2.7k;38;--;120;;
Coca-Cola Company;Beverage | 5k-10k Employees | Forbes Global 2000 | 138 years old | Atlanta +161 more;4.3;Skill Development / Learning, Company Culture, Work Life Balance;;847;2.8k;66;27;102;;
HPCL-Mittal Energy Limited;Petrochemicals | 1k-5k Employees | 17 years old | Noida +26 more;4.3;Job Security, Salary & Benefits, Company Culture;;843;4.2k;27;--;120;;
FastInfo;EdTech | 501-1k Employees | Startup | 5 years old | Kolkata +7 more;4.3;Skill Development / Learning, Company Culture, Work Life Balance;;839;610;18;1;358;;
Amazon Logistics;Logistics | 51-200 Employees | Hyderabad / Secunderabad +113 more;4.3;Company Culture, Skill Development / Learning, Salary & Benefits;;828;3k;56;--;86;;
The Ramco Cements;Building Material | 1k-5k Employees | Public | 63 years old | Chennai +89 more;4.3;Job Security, Company Culture, Work Life Balance;;808;3.2k;34;--;100;;
Intel;Semiconductors | 10k-50k Employees | Public | 56 years old | Santa Clara +32 more;4.3;Work Life Balance, Company Culture, Work Satisfaction;;806;7.7k;127;466;101;;
ReNew;Power | 1k-5k Employees | 13 years old | Gurgaon +73 more;4.3;Job Security, Company Culture, Skill Development / Learning;;785;3.9k;53;153;100;;
Fidelity Investment;Financial Services | 5k-10k Employees | 78 years old | Boston +14 more;4.3;Job Security, Company Culture, Work Life Balance;;762;8.3k;47;6;172;;
Syngenta;Agriculture | 1k-5k Employees | 24 years old | Basel +136 more;4.3;Company Culture, Work Life Balance, Skill Development / Learning;;759;3.1k;42;32;92;;
Caratlane Trading;1k-5k Employees | 16 years old | Chennai +54 more;4.3;Company Culture, Skill Development / Learning, Job Security;;727;1.9k;37;38;90;;
Fluor Corporation;Forbes Global 2000 | Gurgaon / Gurugram +22 more;4.3;Work Life Balance, Company Culture, Salary & Benefits;Job Security;724;2.1k;17;--;12;;
INDO-MIM;Industrial Machinery | 1k-5k Employees | 26 years old | Bangalore/Bengaluru +19 more;4.3;Job Security, Work Life Balance, Skill Development / Learning;;721;3.6k;31;5;122;;
Page Industries;Fashion & Textile | 10k-50k Employees | Public | 30 years old | Bangalore/Bengaluru +76 more;4.3;Job Security, Company Culture, Salary & Benefits;;664;3.1k;29;1;82;;
Atlas Copco;Industrial Machinery | 1k-5k Employees | Public | 151 years old | Nacka Municipality +48 more;4.3;Company Culture, Job Security, Work Life Balance;;663;4k;46;60;101;;
CNH;Automobile | 1k-5k Employees | Public | 11 years old | London +54 more;4.3;Work Life Balance, Company Culture, Salary & Benefits;;637;3.2k;33;4;88;;
Tata Starbucks;Hospitality | 1k-5k Employees | 53 years old | Seattle +39 more;4.3;Job Security, Company Culture, Skill Development / Learning;;615;1.6k;28;149;112;;
Porter;Internet | 1k-5k Employees | Startup | 10 years old | Bangalore +25 more;4.3;Company Culture, Work Life Balance, Work Satisfaction;;601;2.1k;48;122;55;;
Kurlon;Furniture & Furnishing | 501-1k Employees | 62 years old | Bangalore/Bengaluru +85 more;4.3;Work Life Balance, Company Culture, Work Satisfaction;;599;2.3k;30;--;91;;
Amphenol Interconnect;Electrical Equipment | 201-500 Employees | 52 years old | Pune +12 more;4.3;Work Life Balance, Skill Development / Learning, Company Culture;;597;2.9k;21;--;80;;
Lea Associates South Asia;Engineering & Construction | 51-200 Employees | 31 years old | Delhi/NCR +114 more;4.3;Work Life Balance, Company Culture, Work Satisfaction;;576;1.7k;16;--;83;;
Rallis India;Agro Chemicals | 1k-5k Employees | Public | 76 years old | Mumbai +89 more;4.3;Job Security, Company Culture, Skill Development / Learning;;573;2.3k;29;--;84;;
HP India;Consumer Electronics & Appliances | 1k-5k Employees | 27 years old | Bengaluru +48 more;4.3;Company Culture, Work Life Balance, Job Security;Promotions / Appraisal;570;2.7k;72;9;59;;
Engineers India;1k-5k Employees | Public | 59 years old | Delhi/NCR +57 more;4.3;Work Life Balance, Skill Development / Learning, Company Culture;;569;3.3k;51;--;76;;
PUMA;Fashion & Textile | 1k-5k Employees | 76 years old | Herzogenaurach +78 more;4.3;Job Security, Company Culture, Skill Development / Learning;;559;2.3k;34;70;85;;
Shaktiman Tirth Agro Technology;Industrial Machinery | 1k-5k Employees | 27 years old | Rajkot +41 more;4.3;Job Security, Work Life Balance, Skill Development / Learning;;559;2.5k;27;--;90;;
Rohan Builders;Real Estate | 1k-5k Employees | 31 years old | Pune +54 more;4.3;Company Culture, Skill Development / Learning, Salary & Benefits;;555;1.9k;28;12;64;;
